101,37,Best Actor,2014
101,40,Best Director,2014
101,37,Best Actor,2016
201,5,Best Director,2009
201,5,Best Actor,2010
208,9,Best Actor,2000
209,9,Best Actor,2015
210,13,Best Actor,2014
205,13,Best Actor,2012
102,45,Best Director,2004
103,42,Best Actor,2001
103,45,Best Director,2001
103,45,Best Director,2002
103,45,Best Director,2004
103,45,Best Director,2005
103,43,Best Actor,2006
103,44,Best Actor,2006
103,45,Best Producer,2006
103,45,Best Producer,2004
103,45,Best Director,2006
104,40,Best Director,2008
104,40,Best Producer,2008
106,49,Best Director,2010
107,40,Best Actor,1989
109,53,Best Director,1990
109,53,Best Director,1995
109,53,Best Director,2015
109,53,Best Director,2020
109,53,Best Director,2021
110,52,Best Director,2020
110,43,Best Actor,2019
110,43,Best Actor By Popular Vote,2019