101,02135,Boston,USA
101,02134,Boston,USA
201,99999,San Jose,USA
201,460005,Bangalore,India
201,23489,Paris,France
102,34987,Albuquerque,USA
102,12312,Paris,France
103,44321,Dublin,Ireland
105,490900,Edinburgh,UK
107,80033,Manchester,UK
107,87922,Liverpool,UK
107,54789,London,UK
108,35000,Leeds,UK
110,700084,Bangalore,India
110,700094,Kolkata,India
111,89899,Tokyo,Japan
201,02135,Boston,USA
202,11111,Seattle,USA
203,201014,Delhi,India
204,7245893,Singapore,Singapore
205,02215,Boston,USA
205,02119,Boston,USA
206,11919,Seattle,USA
207,736321,Rio,Brazil
208,02215,Boston,USA
209,02215,Boston,USA
209,66777,Toronto ,Canada
210,98607,Vancouver,Canada
210,54789,London,UK
206,02135,Boston ,USA
210,02135,Boston ,USA