101,Breaking Bad,9.1,High Bridge Productions,195000000
102,Band of Brothers,9.5,DreamWorks,125000000
103,Game of Thrones,8.9,HBO,480000000
104,Rick and Morty,8.2,Green Portal Productions,52000000
105,Sherlock,9,BBC,13000000
106,Fullmetal Alchemist: Brotherhood,7.9,Bones,5500000
107,Ted Lasso,6.9,Universal Television,120000000
108,Fleabag,8,Two Brothers Pictures,20000000
109,The Simpsons,8.1,Gracie Films,3650000000
110,Sacred Games,7.1,Netflix,18000000
111,Agents of Shield,6,Marvel,200000000
201,Iron Man,9,Marvel,200000000
202,Daredevil,2,Marvel,50000000
203,Doctor Strange,8,Marvel,300000000
204,Batman vs Superman,3,Warner Bros,300000000
205,Batman: The dark knight,8,Warner Bros,150000000
206,Pretty Woman,6,Touchstone Pictures,10000000
207,The Notebook ,7,Gran Via,30000000
208,The Matrix,9,Warner Bros,20000000
209,John Wick,8,Summit Entertainment,70000000
210,London has Fallen,8,Grammercy Pictures,60000000